DEFINE ALL TABLE TARGET,,,,,,,,,DEFINE ALL TABLE SOURCE - LOGIC TRANSFORMATION,
Table_Name,Business_Process,Fact_Type,Grain_Statement,Column_Name,Column_Type,Constraint,SCD_type,Note,Source_Table.Column,Transformation_Logic
Dim_Date,,,,Date_SK,INT,PRIMARY KEY,Type 0,Khóa đại diện ngày (dạng YYYYMMDD),,
Dim_Date,,,,Full_Date,DATE,NOT NULL,Type 0,Ngày dương lịch,,
Dim_Date,,,,Day_of_Month,TINYINT,NOT NULL,Type 0,Ngày trong tháng (1-31),,
Dim_Date,,,,Month_Number,TINYINT,NOT NULL,Type 0,Tháng trong năm (1-12),,
Dim_Date,,,,Month_Name,VARCHAR(15),NOT NULL,Type 0,"Tên tháng (January, February...)",,
Dim_Date,,,,Quarter_Number,TINYINT,NOT NULL,Type 0,Quý (1-4),,
Dim_Date,,,,Year_Number,SMALLINT,NOT NULL,Type 0,Năm (ví dụ 2026),,
Dim_Date,,,,Is_Weekend,BOOLEAN,NOT NULL,Type 0,Cờ ngày cuối tuần (TRUE/FALSE),,
Dim_Date,,,,,,,,,,
Dim_Application_Status,,,,Status_SK,INT,PRIMARY KEY,Type 1,Surrogate Key cho Junk Dimension,Derived,"Tự sinh khóa nguyên (1, 2, 3...)"
Dim_Application_Status,,,,Contract_Status,VARCHAR(50),NOT NULL,Type 1,"Approved, Refused, Canceled, Unused",previous_application.NAME_CONTRACT_STATUS,"COALESCE(TRIM(NAME_CONTRACT_STATUS), 'Unknown')"
Dim_Application_Status,,,,Reject_Reason,VARCHAR(100),NOT NULL,Type 1,"Lý do từ chối (LIMIT, SCOT, XAP...)",previous_application.CODE_REJECT_REASON,"COALESCE(TRIM(CODE_REJECT_REASON), 'XAP')"
Dim_Contract_Type,,,,Contract_Type_SK,INT,PRIMARY KEY,Type 1,Surrogate Key,Derived,DENSE_RANK() hoặc Sequence
Dim_Contract_Type,,,,Contract_Type_Code,VARCHAR(50),NOT NULL,Type 1,"Natural Key (Cash loans, Revolving loans...)",application.NAME_CONTRACT_TYPE,DISTINCT TRIM(NAME_CONTRACT_TYPE)
Dim_Contract_Type,,,,Contract_Type_Name,VARCHAR(100),NOT NULL,Type 1,Tên diễn giải loại hợp đồng,application.NAME_CONTRACT_TYPE,Tên chuẩn hóa hiển thị cho báo cáo
Dim_Customer,,,,Customer_SK,BIGINT,PRIMARY KEY,-,Surrogate Key tự sinh (Identity/Sequence),Derived,Tự tăng (Identity/Sequence) hoặc monotonically_increasing_id()
Dim_Customer,,,,Customer_BK,VARCHAR(50),NOT NULL,Type 0,Natural Key từ nguồn (SK_ID_CURR),application.SK_ID_CURR,CAST(SK_ID_CURR AS STRING)
Dim_Customer,,,,DAYS_BIRTH,INT,NULL,Type 0,Tuổi tính theo số ngày âm so với mốc,application.DAYS_BIRTH,CAST(DAYS_BIRTH AS INT)
Dim_Customer,,,,CODE_GENDER,VARCHAR(10),NOT NULL,Type 1,"Giới tính (M, F)",application.CODE_GENDER,"COALESCE(UPPER(TRIM(CODE_GENDER)), 'XNA')"
Dim_Customer,,,,NAME_FAMILY_STATUS,VARCHAR(50),NOT NULL,Type 2,Tình trạng hôn nhân,application.NAME_FAMILY_STATUS,"COALESCE(TRIM(NAME_FAMILY_STATUS), 'Unknown')"
Dim_Customer,,,,NAME_EDUCATION_TYPE,VARCHAR(100),NOT NULL,Type 2,Trình độ học vấn,application.NAME_EDUCATION_TYPE,"COALESCE(TRIM(NAME_EDUCATION_TYPE), 'Unknown')"
Dim_Customer,,,,REGION_RATING_CLIENT,TINYINT,NULL,Type 2,Xếp hạng khu vực sinh sống,application.REGION_RATING_CLIENT,CAST(REGION_RATING_CLIENT AS SMALLINT)
Dim_Customer,,,,AMT_INCOME_TOTAL,"DECIMAL(18,2)",NULL,Type 2,Tổng thu nhập hàng tháng/năm,application.AMT_INCOME_TOTAL,"ROUND(CAST(AMT_INCOME_TOTAL AS DECIMAL(18,2)), 2)"
Dim_Customer,,,,DAYS_EMPLOYED,INT,NULL,Type 2,Số ngày làm việc ở công việc hiện tại,application.DAYS_EMPLOYED,CAST(DAYS_EMPLOYED AS INT)
Dim_Customer,,,,Effective_Date,TIMESTAMP,NOT NULL,-,Ngày bắt đầu hiệu lực bản ghi SCD2,System Timestamp,CURRENT_TIMESTAMP() khi insert dòng mới
Dim_Customer,,,,Expiry_Date,TIMESTAMP,NOT NULL,-,Ngày hết hiệu lực bản ghi SCD2 (9999-12-31),System Timestamp,TIMESTAMP('9999-12-31 23:59:59') khi tạo mới; cập nhật thành CURRENT_TIMESTAMP() khi dòng bị expire
Dim_Customer,,,,Is_Current_Flag,CHAR(1),NOT NULL,-,Cờ bản ghi hiện tại ('Y' / 'N'),System Flag,'Y' cho bản ghi mới; đổi thành 'N' khi có thay đổi thuộc tính SCD2
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,Repayment_SK,BIGINT,PRIMARY KEY,-,Surrogate Key của dòng Fact,Derived,"F.abs(F.hash(F.concat_ws('_', F.col('SK_ID_PREV'), F.col('NUM_INSTALMENT_NUMBER'))))"
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,Customer_SK,BIGINT,NOT NULL (FK),-,Nối tới Dim_Customer.Customer_SK,installments_payments.SK_ID_PREV,Join qua previous_application lấy SK_ID_CURR -> Lookup Dim_Customer. Nếu NULL gán -1
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,Due_Date_SK,INT,NOT NULL (FK),-,Nối tới Dim_Date (Hạn chót phải trả),installments_payments.DAYS_INSTALMENT,"date_format(date_add('2020-01-01', DAYS_INSTALMENT), 'yyyyMMdd') CAST AS INT. Nếu NULL gán -1"
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,Payment_Date_SK,INT,NOT NULL (FK),-,Nối tới Dim_Date (Ngày trả thực tế),installments_payments.DAYS_ENTRY_PAYMENT,"date_format(date_add('2020-01-01', DAYS_ENTRY_PAYMENT), 'yyyyMMdd') CAST AS INT. Nếu NULL gán -1"
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,Loan_ID,VARCHAR(50),NOT NULL,Degenerate Dim,Mã khoản vay (SK_ID_PREV),installments_payments.SK_ID_PREV,CAST(SK_ID_PREV AS STRING)
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,Instalment_Number,INT,NOT NULL,Degenerate Dim,Số thứ tự kỳ trả góp,installments_payments.NUM_INSTALMENT_NUMBER,CAST(NUM_INSTALMENT_NUMBER AS INT)
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,AMT_INSTALMENT,"DECIMAL(18,2)",NOT NULL,Fully Additive,Số tiền phải trả theo hợp đồng,installments_payments.AMT_INSTALMENT,"COALESCE(CAST(AMT_INSTALMENT AS DECIMAL(18,2)), 0.00)"
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,AMT_PAYMENT,"DECIMAL(18,2)",NOT NULL,Fully Additive,Số tiền khách nộp thực tế,installments_payments.AMT_PAYMENT,"COALESCE(CAST(AMT_PAYMENT AS DECIMAL(18,2)), 0.00)"
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,Underpaid_Amount,"DECIMAL(18,2)",NOT NULL,Derived Measure,AMT_INSTALMENT - AMT_PAYMENT,Derived,"COALESCE(AMT_INSTALMENT, 0) - COALESCE(AMT_PAYMENT, 0)"
Fact_Loan_Repayment,PRC_02,Transaction Fact,Mỗi dòng đại diện cho một kỳ thanh toán của một khoản vay,Days_Past_Due,INT,NOT NULL,Derived Measure,Số ngày quá hạn nộp tiền,Derived,CASE WHEN DAYS_ENTRY_PAYMENT > DAYS_INSTALMENT THEN CAST(DAYS_ENTRY_PAYMENT - DAYS_INSTALMENT AS INT) ELSE 0 END
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,Application_SK,BIGINT,PRIMARY KEY,-,Surrogate Key của dòng Fact,Derived,
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,Customer_SK,BIGINT,NOT NULL (FK),-,Nối tới Dim_Customer.Customer_SK,application.SK_ID_CURR,Lookup Dim_Customer WHERE Customer_BK = SK_ID_CURR AND Is_Current_Flag = 'Y'. Nếu NULL gán -1
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,Decision_Date_SK,INT,NOT NULL (FK),-,Nối tới Dim_Date.Date_SK (DAYS_DECISION),previous_application.DAYS_DECISION,"date_format(date_add('2020-01-01', DAYS_DECISION), 'yyyyMMdd') CAST AS INT. Nếu NULL gán -1"
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,Contract_Type_SK,INT,NOT NULL (FK),-,Nối tới Dim_Contract_Type.Contract_Type_SK,application.NAME_CONTRACT_TYPE,Lookup Dim_Contract_Type qua Contract_Type_Code. Nếu NULL gán -1
Fact_Loan_Application,PRC_01,Transaction Fact,Mỗi dòng đại diện cho một khoản vay xin duyệt,Status_SK,INT,NOT NULL (FK),-,Nối tới Dim_Application_Status,"previous_application.NAME_CONTRACT_STATUS, CODE_REJECT_REASON",Lookup Dim_Application_Status qua cặp trạng thái + lý do. Nếu NULL gán -1
